id,locatable_id,locatable_type,name,address,unit,city,state,zip_code,is_primary,lat,long,created_at,updated_at,show_on_organization
79925313121,84561980428,Letter choose eat do team board citizen.,"Miller, Barrera and Barry",954 Lawrence Isle Apt. 824, 824,Los Angeles,CA,95200,0,-20.184508,23.868930,2020-02-17 08:31:41,2020-06-22 15:52:05,1
83581131939,85554648545,Ability chair artist ahead rich debate.,Arias-Lin,5873 Yates Common,,Los Angeles,CA,93851,0,7.592566,-86.551608,2020-11-17 14:54:56,2020-11-19 02:29:27,0
89550716420,23211403485,Recognize sound around house skill deal.,Morrison-Smith,9014 Smith Court Suite 895, 895,Los Angeles,CA,96088,1,59.0467565,147.216884,2019-02-25 00:00:37,2021-01-18 02:26:04,1
26379870385,53820947108,Serious push necessary also.,Tucker Ltd,8159 Dennis Corner,,Los Angeles,CA,95798,1,67.3904965,-173.334306,2019-08-06 10:22:40,2020-11-30 00:28:17,0
48742907374,89990940955,Concern ask question.,Johnson-Foster,4399 Mills River Apt. 656, 656,Los Angeles,CA,92760,1,3.6436545,-122.331016,2020-07-13 17:54:05,2020-10-29 23:02:25,1
14092772403,63363749294,Their itself public your debate source name.,Luna and Sons,440 Kyle Terrace Suite 041, 041,Los Angeles,CA,94817,1,-66.1131005,-68.421071,2020-06-27 05:43:40,2020-12-18 19:22:10,1
46090431864,49638896874,Cover feeling themselves few.,White Ltd,0359 Meagan Station,,Los Angeles,CA,95094,1,-18.661000,43.350143,2020-03-19 12:13:38,2020-05-03 05:47:46,1
10631777621,33410210346,Republican include north create coach.,Thompson-Brown,95878 Kelly Curve Suite 485, 485,Los Angeles,CA,94885,1,-45.3020285,57.500476,2019-11-16 09:35:19,2020-12-21 03:00:26,0
84313863645,58563505528,Sign free house town real green least.,"Bowers, Adams and Costa",72494 Decker Fall,,Los Angeles,CA,93834,1,-47.084909,72.491001,2019-01-28 13:58:29,2019-11-22 05:47:40,0
88500574447,99203251997,Option follow check.,Torres and Sons,0658 Sanders Manors,,Los Angeles,CA,93882,0,24.986772,-176.044198,2020-02-05 14:43:07,2020-05-03 07:10:18,1
16494095049,74378075681,Person site call kind or.,Ramos Inc,813 Elizabeth Branch Suite 770, 770,Los Angeles,CA,92711,1,-67.533692,-18.237751,2019-12-24 15:03:14,2020-09-18 19:17:47,0
37643176466,89628723755,Lawyer must too again lot listen.,Johnson and Sons,2221 Bartlett Via,,Los Angeles,CA,90641,1,25.2070375,-107.169827,2020-12-24 19:44:54,2020-12-28 14:16:44,1
17072687142,62279876627,Grow national trade.,"Smith, Soto and Webster",310 Nichole Forge Suite 720, 720,Los Angeles,CA,93444,0,-2.7489295,-83.176977,2020-06-03 00:54:48,2021-01-31 19:01:47,0
38614022074,74632422276,Course morning eye down actually evidence.,Hernandez Inc,28448 Brent Crest Suite 265, 265,Los Angeles,CA,93626,1,68.472778,-178.710440,2019-07-06 15:02:02,2019-08-07 08:47:48,1
35305189509,11663808352,Serious conference want artist.,Soto-Lamb,15074 Chang Unions,,Los Angeles,CA,91379,1,82.9904015,107.025869,2020-11-19 20:05:48,2021-01-15 04:28:13,1
72677717271,59320934095,Current market nothing network mother piece something.,"Choi, Braun and Ayala",5043 Alicia Center,,Los Angeles,CA,94640,1,-38.5054155,-1.052107,2019-08-20 05:28:41,2021-02-23 22:39:55,0
87481343518,50078832079,Real gun quickly require project beyond.,Mosley LLC,268 Shaffer Parks Suite 207, 207,Los Angeles,CA,91931,1,-88.747503,89.749580,2019-09-12 11:31:16,2020-01-30 15:26:53,0
63320424544,85202520841,Result fear us chair once specific we southern.,"Beasley, Martinez and Morrison",569 Kenneth Pike Suite 191, 191,Los Angeles,CA,94646,0,-1.6733155,-139.999608,2020-02-09 10:12:00,2021-02-14 13:20:02,0
36300558288,71407798698,Stay expert reality night.,"Richard, Smith and Jensen",303 Wright Way Apt. 458, 458,Los Angeles,CA,93434,1,34.165486,28.977572,2019-11-15 01:22:48,2020-08-06 18:32:49,1
24236147121,55439697211,Prevent left someone.,Taylor-Perry,7307 Jackson Vista,,Los Angeles,CA,95629,1,-37.340258,-77.836647,2019-06-01 04:07:20,2021-02-27 07:57:32,1
10725388614,51958482112,Agree room type wish hundred believe chair fight.,"Smith, Goodman and Ingram",881 Eric Plain Apt. 826, 826,Los Angeles,CA,91663,0,-76.3837045,-136.331461,2020-11-02 13:33:53,2021-01-23 15:16:52,1
67497409541,54478493441,Boy force point suddenly technology south high himself.,Douglas Group,396 Durham Walks Suite 801, 801,Los Angeles,CA,95462,1,-79.4117475,72.587948,2019-11-01 09:19:43,2020-05-09 00:07:24,0
90632313700,67952985186,Approach now hear phone whole.,Fletcher Group,92724 Karen Ridge Apt. 713, 713,Los Angeles,CA,94956,1,-64.4178305,-137.695229,2020-09-15 10:32:51,2020-11-27 16:53:55,1
41066287651,20332993175,Administration approach easy around.,Robinson Group,47808 Donna Well Apt. 942, 942,Los Angeles,CA,92325,0,-8.8668355,-16.699160,2019-05-10 07:35:03,2020-11-13 12:35:37,0
18356156391,17857351493,Item fish nor team surface change in.,Morgan-Alvarado,72082 Gregory Burg,,Los Angeles,CA,94298,0,-29.324458,119.270577,2019-08-22 14:31:42,2020-10-16 11:39:23,1
20543562515,85508285912,Member start true hot couple.,"Edwards, Harris and Evans",605 Bailey Squares,,Los Angeles,CA,90147,1,-54.0388865,-101.263529,2019-09-09 04:56:03,2020-06-19 01:38:57,1
