uid,gender,location,longitude,latitude,region,county,state,active
3034,F,"Los Angeles, CA",-121.3525630958221,34.50653260511107,"Los Angeles, CA",Los Angeles,CA,0
6226,M,"Los Angeles, CA",-120.53927583903406,33.609335639303644,"Los Angeles, CA",Los Angeles,CA,0
7496,F,"Los Angeles, CA",-120.83603864712008,32.97148727930363,"Los Angeles, CA",Los Angeles,CA,0
5821,F,"Los Angeles, CA",-121.52258520313858,35.727840389023406,"Los Angeles, CA",Los Angeles,CA,1
8158,M,"Los Angeles, CA",-121.5499103374818,32.85905478089451,"Los Angeles, CA",Los Angeles,CA,0
4351,F,"Los Angeles, CA",-119.70668318424528,34.41102156173853,"Los Angeles, CA",Los Angeles,CA,1
4343,F,"Los Angeles, CA",-118.55439636656992,34.02660824058979,"Los Angeles, CA",Los Angeles,CA,0
7703,F,"Los Angeles, CA",-117.96932172042644,33.279110878492084,"Los Angeles, CA",Los Angeles,CA,1
5239,M,"Los Angeles, CA",-121.58248635778361,35.544743401245576,"Los Angeles, CA",Los Angeles,CA,0
5927,F,"Los Angeles, CA",-121.65127875972856,33.48814314209719,"Los Angeles, CA",Los Angeles,CA,0
5265,M,"Los Angeles, CA",-120.50668947085073,33.538046922340015,"Los Angeles, CA",Los Angeles,CA,0
1207,M,"Los Angeles, CA",-118.14891031155007,35.155964895891515,"Los Angeles, CA",Los Angeles,CA,0
5158,F,"Los Angeles, CA",-120.49390664141688,32.876612115270504,"Los Angeles, CA",Los Angeles,CA,0
9035,M,"Los Angeles, CA",-120.41331622570968,34.772346823860026,"Los Angeles, CA",Los Angeles,CA,0
7896,M,"Los Angeles, CA",-117.9366812054003,35.3634443939271,"Los Angeles, CA",Los Angeles,CA,1
2659,F,"Los Angeles, CA",-121.13239356862469,34.408819116163514,"Los Angeles, CA",Los Angeles,CA,1
5600,M,"Los Angeles, CA",-120.73315896236895,32.22529568703958,"Los Angeles, CA",Los Angeles,CA,0
6929,M,"Los Angeles, CA",-119.89816069522735,35.803004346649196,"Los Angeles, CA",Los Angeles,CA,1
3333,F,"Los Angeles, CA",-118.63619720472278,33.49761364000756,"Los Angeles, CA",Los Angeles,CA,1
9044,M,"Los Angeles, CA",-118.1997900722625,32.89586717620703,"Los Angeles, CA",Los Angeles,CA,0
4170,F,"Los Angeles, CA",-118.55010810152902,35.44866845472294,"Los Angeles, CA",Los Angeles,CA,1
5264,F,"Los Angeles, CA",-119.73718591379716,35.840242597709256,"Los Angeles, CA",Los Angeles,CA,0
5338,M,"Los Angeles, CA",-118.29729186275688,35.10256914802448,"Los Angeles, CA",Los Angeles,CA,0
6993,M,"Los Angeles, CA",-118.28079007691889,34.01191256592981,"Los Angeles, CA",Los Angeles,CA,0
3893,F,"Los Angeles, CA",-120.33450466201593,33.86248683883142,"Los Angeles, CA",Los Angeles,CA,0
8470,F,"Los Angeles, CA",-119.5042121526693,35.308034947657916,"Los Angeles, CA",Los Angeles,CA,1
6729,M,"Los Angeles, CA",-120.04127446713488,34.195403517091556,"Los Angeles, CA",Los Angeles,CA,1
3546,M,"Los Angeles, CA",-116.70068831354494,34.509905866229104,"Los Angeles, CA",Los Angeles,CA,0
4457,F,"Los Angeles, CA",-120.8221849864053,34.602138504397146,"Los Angeles, CA",Los Angeles,CA,1
4005,M,"Los Angeles, CA",-117.75880342040365,29.719926693840122,"Los Angeles, CA",Los Angeles,CA,1
4083,F,"Los Angeles, CA",-120.29822640014137,33.07436069568924,"Los Angeles, CA",Los Angeles,CA,1
1359,M,"Los Angeles, CA",-119.53725559022854,34.11795391266163,"Los Angeles, CA",Los Angeles,CA,1
